quote,author,tags
respect other peoples feelings it might mean nothing to you but it could mean everything to them,roy t bennett,"['feelings', 'inspiration', 'inspirationalquotes']"
remember when you tried to convince me to feed a poultry pie to the mallards in the park to see if you could breed a race of cannibal ducks they ate it too will reminisced bloodthirsty little beasts never trust a duck,cassandra clare,"['jemcarstairs', 'willherondale']"
we are all different dont judge understand instead,roy t bennett,"['authenticliving', 'authenticself', 'authenticity', 'compassion']"
two possibilities exist either we are alone in the universe or we are not both are equally terrifying,arthur c clarke,"['distance', 'life', 'loneliness', 'qotd', 'senseofwonder', 'universe']"
when you have eliminated all which is impossible then whatever remains however improbable must be the truth,arthur conan doyle,['inspirational']
men occasionally stumble over the truth but most of them pick themselves up and hurry off as if nothing had happened,winston s churchill,['truth']
you gain strength courage and confidence by every experience in which you really stop to look fear in the face you are able to say to yourself i have lived through this horror i can take the next thing that comes along you must do the thing you think you cannot do,eleanor roosevelt,['confidence']
the important thing is not to stop questioning curiosity has its own reason for existence one cannot help but be in awe when he contemplates the mysteries of eternity of life of the marvelous structure of reality it is enough if one tries merely to comprehend a little of this mystery each dayold mans advice to youth never lose a holy curiosity life magazine 2 may 1955 p 64,albert einstein,"['1955', 'curiosity', 'mystery', 'physics', 'science']"
many people myself among them feel better at the mere sight of a book,jane smiley,"['books', 'reading']"
deserves it i daresay he does many that live deserve death and some that die deserve life can you give it to them then do not be too eager to deal out death in judgement for even the very wise cannot see all ends,jrr tolkien,"['compassion', 'justice', 'mercy']"
i dont know the question but sex is definitely the answer,woody allen,"['humor', 'life', 'sex']"
you cannot protect yourself from sadness without protecting yourself from happiness,jonathan safran foer,"['happiness', 'sadness']"
be mindful be grateful be positive be true be kind,roy t bennett,"['gratitude', 'inspiration', 'inspirational', 'inspirationalquotes', 'kindness', 'life', 'lifeandliving', 'lifequotes', 'livinglife', 'mindful', 'mindfulness', 'optimism', 'optimistic', 'positive', 'positiveaffirmation', 'positivelife', 'positivethinking', 'truth']"
fantasy is a necessary ingredient in living its a way of looking at life through the wrong end of a telescope,dr seuss,"['fantasy', 'humor']"
above all be the heroine of your life not the victim,nora ephron,"['courage', 'empowerment', 'selfdetermination', 'women']"
there comes a time when the world gets quiet and the only thing left is your own heart so youd better learn the sound of it otherwise youll never understand what its saying,sarah dessen,"['justlitsen', 'sarahdessen', 'time']"
all animals are equal but some animals are more equal than others,george orwell,['animalfarm']
why fit in when you were born to stand out,dr seuss,['seuss']
kiss me and you will see how important i am,sylvia plath,"['importance', 'kiss', 'kissing']"
war is peace freedom is slavery ignorance is strength,george orwell,"['freedom', 'ignorance', 'inspirational', 'war']"
religion has actually convinced people that theres an invisible man living in the sky who watches everything you do every minute of every day and the invisible man has a special list of ten things he does not want you to do and if you do any of these ten things he has a special place full of fire and smoke and burning and torture and anguish where he will send you to live and suffer and burn and choke and scream and cry forever and ever til the end of time but he loves you he loves you and he needs money he always needs money hes allpowerful allperfect allknowing and allwise somehow just cant handle money,george carlin,"['atheism', 'humor', 'life', 'religion']"
youre still trying to protect me real or not real he whispersreal i answer because thats what you and i do protect each other,suzanne collins,"['hungergames', 'katniss', 'peeta']"
there are worse crimes than burning books one of them is not reading them,joseph brodsky,"['books', 'censorship', 'illiteracy', 'reading']"
thats the thing about books they let you travel without moving your feet,jhumpa lahiri,['books']
accept yourself love yourself and keep moving forward if you want to fly you have to give up what weighs you down,roy t bennett,"['acceptyourself', 'inspiration', 'inspirational', 'inspirationalattitude', 'inspirationallife', 'inspirationalquotes', 'inspire', 'inspiring', 'keepmovingforward', 'lettinggo', 'life', 'lifeandliving', 'lifelessons', 'lifequotes', 'living', 'loveyourself', 'optimism', 'optimistic', 'positive', 'positiveaffirmation', 'positivelife', 'positivethinking']"
whatever it is youre seeking wont come in the form youre expecting,haruki marukami,['expectation']
what matters in life is not what happens to you but what you remember and how you remember it,gabriel garcia marquez,['lifememories']
it is said that your life flashes before your eyes just before you die that is true its called life,terry pratchett,"['death', 'humor', 'life']"
to douchebags he said gesturing to brad and to girls that break your heart he bowed his head to me his eyes lost focus and to the absolute fucking horror of losing your best friend because you were stupid enough to fall in love with her,jamie mcguire,"['bestfriends', 'heartbreak', 'love']"
i am very interested and fascinated how everyone loves each other but no one really likes each other,stephen chbosky,['moi']
everyone should be able to do one card trick tell two jokes and recite three poems in case they are ever trapped in an elevator,lemony snicket,['funny']
remember the time you feel lonely is the time you most need to be by yourself lifes cruelest irony,douglas coupland,"['irony', 'life', 'loneliness']"
you must stay drunk on writing so reality cannot destroy you,ray bradbury,['writing']
it may be unfair but what happens in a few days sometimes even a single day can change the course of a whole lifetime,khaled hosseini,"['fair', 'life']"
the simple things are also the most extraordinary things and only the wise can see them,paulo coelho,['wisdom']
painting is poetry that is seen rather than felt and poetry is painting that is felt rather than seen,leonardo da vinci,"['art', 'poetry']"
if youre looking for sympathy youll find it between shit and syphilis in the dictionary,david sedaris,['sympathy']
life is too short to waste your time on people who dont respect appreciate and value you,roy t bennett,"['appreciate', 'inspiration', 'inspirational', 'inspirationalattitude']"
i have great faith in fools  selfconfidence my friends will call it,edgar allan poe,"['faith', 'fool', 'humor', 'selfconfidence', 'selfirony']"
people are afraid of themselves of their own reality their feelings most of all people talk about how great love is but thats bullshit love hurts feelings are disturbing people are taught that pain is evil and dangerous how can they deal with love if theyre afraid to feel pain is meant to wake us up people try to hide their pain but theyre wrong pain is something to carry like a radio you feel your strength in the experience of pain its all in how you carry it thats what matters pain is a feeling your feelings are a part of you your own reality if you feel ashamed of them and hide them youre letting society destroy your reality you should stand up for your right to feel your pain,jim morrison,"['jim', 'life', 'morrison', 'pain', 'reality']"
i have found the paradox that if you love until it hurts there can be no more hurt only more love,daphne rae,['misattributedtomotherteresa']
that does it said jace im going to get you a dictionary for christmas this yearwhy isabelle saidso you can look up fun im not sure you know what it means,cassandra clare,"['dictionary', 'fun', 'humor', 'isabellelightwood', 'jacewayland']"
you must have chaos within you to give birth to a dancing star,friedrich nietzsche,"['art', 'chaos']"
i dont go looking for trouble trouble usually finds me,katie mcgarry,['trouble']
to be nobody but yourself in a world which is doing its best day and night to make you like everybody else means to fight the hardest battle which any human being can fight and never stop fighting,ee cummings,['poetry']
that is part of the beauty of all literature you discover that your longings are universal longings that youre not lonely and isolated from anyone you belong,f scott fitzgerald,"['belonging', 'company', 'desires', 'literature', 'longings']"
they love their hair because theyre not smart enough to love something more interesting,john green,"['awesomeness', 'funny']"
beneath the makeup and behind the smile i am just a girl who wishes for the world,marilyn monroe,"['girl', 'makeup', 'world']"
some tourists think amsterdam is a city of sin but in truth it is a city of freedom and in freedom most people find sin,john green,"['amsterdam', 'freedom', 'sin']"
you have your way i have my way as for the right way the correct way and the only way it does not exist,friedrich wilhelm nietzsche,"['amorality', 'correctway', 'individuality', 'myway', 'onlyway', 'rightway', 'theway', 'yourway']"
as usual there is a great woman behind every idiot,john lennon,"['beatles', 'men', 'women']"
what happens when people open their heartsthey get better,haruki murakami,"['healing', 'vulnerability']"
imagine yourself as a living house god comes in to rebuild that house at first perhaps you can understand what he is doing he is getting the drains right and stopping the leaks in the roof and so on you knew that those jobs needed doing and so you are not surprised but presently he starts knocking the house about in a way that hurts abominably and does not seem to make any sense what on earth is he up to the explanation is that he is building quite a different house from the one you thought of  throwing out a new wing here putting on an extra floor there running up towers making courtyards you thought you were being made into a decent little cottage but he is building a palace he intends to come and live in it himself,cs lewis,['godreligionhouse']
i have never listened to anyone who criticized my taste in space travel sideshows or gorillas when this occurs i pack up my dinosaurs and leave the room,ray bradbury,"['humour', 'individuality', 'sciencefiction']"
prayer is not asking it is a longing of the soul it is daily admission of ones weakness it is better in prayer to have a heart without words than words without a heart,mahatma gandhi,"['god', 'heart', 'humanity', 'inspirational', 'prayer', 'religion', 'souls', 'weakness']"
books are my friends my companions they make me laugh and cry and find meaning in life,christopher paolini,"['books', 'christopherpaolini', 'eragon', 'goodreads']"
man may have discovered fire but women discovered how to play with it,candace bushnell,"['love', 'relationships']"
i cannot fix on the hour or the spot or the look or the words which laid the foundation it is too long ago i was in the middle before i knew that i had begun,jane austen,"['love', 'romance']"
education is the most powerful weapon which you can use to change the world,nelson mandela,"['change', 'education']"
being crazy isnt enough,dr seuss,['crazy']
one day in retrospect the years of struggle will strike you as the most beautiful,sigmund freud,['inspirationalquotes']
if you have a garden and a library you have everything you need,cicero,['books']
life is pain highness anyone who says differently is selling something,william goldman,"['life', 'pain']"
if you are going through hell keep going,winston s churchill,"['hell', 'perseverance']"
should i kill myself or have a cup of coffee,albert camus,[]
love doesnt just sit there like a stone it has to be made like bread remade all the time made new,ursula k le guin,['love']
i would have come for you and if i couldnt walk id crawl to you and no matter how broken we were wed fight our way out togetherknives drawn pistols blazing because thats what we do we never stop fighting,leigh bardugo,"['crookedkingdom', 'inejghafa', 'kazbrekker', 'sixofcrows']"
i lie to myself all the time but i never believe me,se hinton,"['lies', 'lying', 'selfdeception', 'truth']"
but who prays for satan who in eighteen centuries has had the common humanity to pray for the one sinner that needed it most,mark twain,['humorsatan']
time flies like an arrow fruit flies like a banana,anthony g oettinger,"['humor', 'misattributedtogrouchomarx', 'time']"
percy wouldnt notice a joke if it danced naked in front of him wearing one of dobbys hats,jk rowling,['humor']
never be afraid to raise your voice for honesty and truth and compassion against injustice and lying and greed if people all over the worldwould do this it would change the earth,william faulkner,"['advocacy', 'dissent', 'protest', 'truth', 'truthtelling']"
books are like mirrors if a fool looks in you cannot expect a genius to look out,jk rowling,['books']
but i dont want to go among mad people alice remarkedoh you cant help that said the cat were all mad here im mad youre madhow do you know im mad said aliceyou must be said the cat or you wouldnt have come here,lewis carroll,['alicesadventuresinwonderland']
nothing of me is original i am the combined effort of everyone ive ever known,chuck palahniuk,"['identity', 'originality']"
the difference between the almost right word and the right word is really a large matter tis the difference between the lightning bug and the lightning,mark twain,['writing']
i like your christ i do not like your christians your christians are so unlike your christ,mahatma gandhi,"['antichristian', 'christianity', 'christians', 'jesuschrist']"
i think god in creating man somewhat overestimated his ability,oscar wilde,"['creation', 'god', 'humor', 'man']"
what i want is to be needed what i need is to be indispensable to somebody who i need is somebody that will eat up all my free time my ego my attention somebody addicted to me a mutual addiction,chuck palahniuk,['love']
reading was my escape and my comfort my consolation my stimulant of choice reading for the pure pleasure of it for the beautiful stillness that surrounds you when you hear an authors words reverberating in your head,paul auster,"['books', 'reading']"
stories of imagination tend to upset those without one,terry pratchett,"['fantasy', 'humor', 'imagination', 'literature', 'stories']"
it isnt what you have or who you are or where you are or what you are doing that makes you happy or unhappy it is what you think about it,dale carnegie,"['attitude', 'contentment', 'happiness', 'inspirational', 'life']"
a girl should be two things classy and fabulous,coco chanel,"['beauty', 'class', 'fashion', 'girls', 'women']"
what i need is the dandelion in the spring the bright yellow that means rebirth instead of destruction the promise that life can go on no matter how bad our losses that it can be good again,suzanne collins,"['inspirational', 'love']"
i love people who make me laugh i honestly think its the thing i like most to laugh it cures a multitude of ills its probably the most important thing in a person,audrey hepburn,['laughter']
when a man gives his opinion hes a man when a woman gives her opinion shes a bitch,bette davis,"['clichs', 'doublestandards', 'empowerment', 'feminism', 'gender', 'hypocrisy', 'misogyny', 'opinions', 'speakingout', 'stereotypes', 'women']"
my daddy said that the first time you fall in love it changes you forever and no matter how hard you try that feeling just never goes away,nicholas sparks,"['love', 'nicholas', 'nicholassparks', 'sparks', 'thenotebook']"
i dont trust people who dont love themselves and tell me i love you  there is an african saying which is be careful when a naked person offers you a shirt,maya angelou,"['1997', 'annieclarktannerlecture', 'inspirational', 'love', 'trust']"
every child is an artist the problem is how to remain an artist once he grows up,pablo picasso,['art']
deadlines just arent real to me until im staring one in the face,rick riordan,"['deadlines', 'humor', 'procrastinate']"
love does not consist of gazing at each other but in looking outward together in the same direction,antoine de saintexupry,['love']
it hurts to let go sometimes it seems the harder you try to hold on to something or someone the more it wants to get away you feel like some kind of criminal for having felt for having wanted for having wanted to be wanted it confuses you because you think that your feelings were wrong and it makes you feel so small because its so hard to keep it inside when you let it out and it doesnt coma back youre left so alone that you cant explain damn theres nothing like that is there ive been there and you have too youre nodding your head,henry rollins,"['life', 'love', 'relationships']"
i never travel without my diary one should always have something sensational to read in the train,oscar wilde,"['drama', 'humor', 'plays']"
the future belongs to those who believe in the beauty of their dreams,eleanor roosevelt,"['dreams', 'future', 'inspirational', 'misattributedeleanorroosevelt']"
you cannot swim for new horizons until you have courage to lose sight of the shore,william faulkner,"['courage', 'determination', 'hope', 'risk']"
and in the endthe love you takeis equal to the love you make,paul mccartney,"['beatles', 'inspirational', 'live', 'love', 'music']"
live the life of your dreams be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others,roy t bennett,"['brave', 'courage', 'dreams', 'inspiration', 'inspirational', 'inspirationalattitude', 'inspirationallife', 'inspirationalquotes', 'inspire', 'inspiring', 'life', 'lifeandliving', 'lifelessons', 'lifequotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positiveaffirmation', 'positivelife', 'positivethinking', 'purpose', 'vision']"
there are three things all wise men fear the sea in storm a night with no moon and the anger of a gentle man,patrick rothfuss,"['fear', 'nameofthewind', 'patrickrothfuss', 'wisdom']"
no book is really worth reading at the age of ten which is not equally  and often far more  worth reading at the age of fifty and beyond,cs lewis,"['age', 'books', 'rereading', 'reading']"
if hes not calling you its because you are not on his mind if he creates expectations for you and then doesnt follow through on little things he will do same for big things be aware of this and realize that hes okay with disappointing you dont be with someone who doesnt do what they say theyre going to do if hes choosing not to make a simple effort that would put you at ease and bring harmony to a recurring fight then he doesnt respect your feelings and needs busy is another word for asshole asshole is another word for the guy youre dating you deserve a fcking phone call,greg behrendt,"['busy', 'call', 'dating', 'datingadvice', 'faith', 'gregbehrendt', 'guys', 'hesnotjustintoyou', 'love', 'marriage', 'romance', 'true']"
why do you go away so that you can come back so that you can see the place you came from with new eyes and extra colors and the people there see you differently too coming back to where you started is not the same as never leaving,terry pratchett,"['adventure', 'change', 'discworld', 'growth', 'travel']"
it was love at first sight at last sight at ever and ever sight,vladimir nabokov,"['humberthumbert', 'love']"
resist much obey little,walt whitman,['poetry']
loyalty to country always loyalty to government when it deserves it,mark twain,"['patriotism', 'politics']"
i like living i have sometimes been wildly despairingly acutely miserable racked with sorrow but through it all i still know quite certainly that just to be alive is a grand thing,agatha christie,['inspirational']
if you love somebody let them go for if they return they were always yours if they dont they never were,kahlil gibran,"['life', 'love', 'romance']"
my tastes are simple i am easily satisfied with the best,winston s churchill,"['humor', 'taste']"
i dont want to die without any scars,chuck palahniuk,"['death', 'scars', 'tylerdurden']"
believe in yourself you are braver than you think more talented than you know and capable of more than you imagine,roy t bennett,"['achievement', 'believeinyourself', 'brave', 'courage', 'inspiration', 'inspirational', 'inspirationalattitude', 'inspirationallife', 'inspirationalquotes', 'inspire', 'inspiring', 'life', 'lifeandliving', 'lifelessons', 'lifequotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positiveaffirmation', 'positivelife', 'positivethinking', 'talent']"
truth is stranger than fiction but it is because fiction is obliged to stick to possibilities truth isnt,mark twain,"['books', 'truth']"
if music be the food of love play ongive me excess of it that surfeitingthe appetite may sicken and so die,william shakespeare,"['music', 'romance', 'unrequitedlove']"
show me a hero and ill write you a tragedy,f scott fitzgerald,['fscottfitzgerald']
its a dangerous business frodo going out your door you step onto the road and if you dont keep your feet theres no knowing where you might be swept off to,jrr tolkien,['wisdom']
i do not fear death i had been dead for billions and billions of years before i was born and had not suffered the slightest inconvenience from it,mark twain,"['death', 'inspirational']"
angry people are not always wise,jane austen,"['anger', 'janeausten', 'wisdom']"
by three methods we may learn wisdom first by reflection which is noblest second by imitation which is easiest and third by experience which is the bitterest,confucious,['wisdom']
what is an instant death anyway how long is an instant is it one second ten the pain of those seconds must have been awful as her heart burst and her lungs collapsed and there was no air and no blood to her brain and only raw panic what the hell is instant nothing is instant instant rice takes five minutes instant pudding an hour i doubt that an instant of blinding pain feels particularly instantaneous,john green,['lookingforalaska']
i am not sure exactly what heaven will be like but i know that when we die and it comes time for god to judge us he will not ask how many good things have you done in your life rather he will ask how much love did you put into what you did,mother teresa,"['inspirational', 'love']"
to be a christian means to forgive the inexcusable because god has forgiven the inexcusable in you,cs lewis,"['christianity', 'forgiveness', 'god']"
in the case of good books the point is not to see how many of them you can get through but rather how many can get through to you,mortimer j adler,"['books', 'reading']"
she is too fond of books and it has turned her brain,louisa may alcott,['books']
you havent got a letter on yours george observed i suppose she thinks you dont forget your name but were not stupidwe know were called gred and forge,jk rowling,['humor']
will looked horrified what kind of monster could possibly hate chocolate,cassandra clare,"['chocolate', 'monsters']"
no medicine cures what happiness cannot,gabriel garca mrquez,['happiness']
its a metaphor see you put the killing thing right between your teeth but you dont give it the power to do its killing,john green,"['johngreen', 'thefaultinourstars']"
i am a badass and i recognize that you too are a badass,cassandra clare,['simon']
because nerds like us are allowed to be unironically enthusiastic about stuff nerds are allowed to love stuff like jumpupanddowninthechaircantcontrolyourself love it hank when people call people nerds mostly what theyre saying is you like stuff which is just not a good insult at all like you are too enthusiastic about the miracle of human consciousness,john green,['nerdfighters']
dont waste your time in anger regrets worries and grudges life is too short to be unhappy,roy t bennett,"['anger', 'grudge', 'happiness', 'happy', 'inspiration', 'inspirational', 'inspirationalquotes', 'inspire', 'inspiring', 'life', 'lifequotes', 'living', 'optimism', 'optimistic', 'positive', 'positiveaffirmation', 'positivelife', 'positivethinking', 'regret', 'time', 'worry']"
fiction is the truth inside the lie,stephen king,['writing']
the town was paper but the memories were not,john green,['memories']
the fact that we live at the bottom of a deep gravity well on the surface of a gas covered planet going around a nuclear fireball 90 million miles away and think this to be normal is obviously some indication of how skewed our perspective tends to be,douglas adams,"['humor', 'perspective', 'science']"
my nightmares are usually about losing you im okay once i realize youre here,suzanne collins,['romantic']
and now these three remain faith hope and love but the greatest of these is love,anonymous,"['faith', 'god', 'hope', 'love']"
dont tell me the moon is shining show me the glint of light on broken glass,anton chekhov,"['brokenglass', 'glass', 'moon', 'moonshine', 'showdonttell', 'writing']"
were all seeking that special person who is right for us but if youve been through enough relationships you begin to suspect theres no right person just different flavors of wrong why is this because you yourself are wrong in some way and you seek out partners who are wrong in some complementary way but it takes a lot of living to grow fully into your own wrongness and it isnt until you finally run up against your deepest demons your unsolvable problemsthe ones that make you truly who you arethat were ready to find a lifelong mate only then do you finally know what youre looking for youre looking for the wrong person but not just any wrong person its got to be the right wrong personsomeone you lovingly gaze upon and think this is the problem i want to havei will find that special person who is wrong for me in just the right way,andrew  boyd,"['beingloved', 'completion', 'inspirational', 'love', 'relationships']"
the road to hell is paved with adverbs,stephen king,['writing']
its only after youve stepped outside your comfort zone that you begin to change grow and transform,roy t bennett,"['change', 'focus', 'grow', 'growth', 'inspiration', 'inspirational', 'inspirationalquotes', 'inspire', 'inspiring', 'leader', 'leaders', 'leadership', 'life', 'lifequotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positiveaffirmation', 'positivelife', 'positivethinking', 'stayfocused', 'stepoutofcomfortzone', 'transform']"
wow thalia muttered apollo is hot hes the sun god i saidthats not what i meant,rick riordan,"['apollo', 'gods', 'hot', 'olympians', 'percyjackson', 'sun', 'thalia']"
when he shall dietake him and cut him out in little starsand he will make the face of heaven so finethat all the world will be in love with nightand pay no worship to the garish sun,william shakespeare,"['death', 'light', 'stars']"
love is a fire but whether it is going to warm your hearth or burn down your house you can never tell,joan crawford,['love']
fear doesnt shut you down it wakes you up,veronica roth,"['divergent', 'fear']"
why do people have to be this lonely whats the point of it all millions of people in this world all of them yearning looking to others to satisfy them yet isolating themselves why was the earth put here just to nourish human loneliness,haruki murakami,"['isolation', 'loneliness', 'sadness']"
the most important things are the hardest to say they are the things you get ashamed of because words diminish them  words shrink things that seemed limitless when they were in your head to no more than living size when theyre brought out but its more than that isnt it the most important things lie too close to wherever your secret heart is buried like landmarks to a treasure your enemies would love to steal away and you may make revelations that cost you dearly only to have people look at you in a funny way not understanding what youve said at all or why you thought it was so important that you almost cried while you were saying it thats the worst i think when the secret stays locked within not for want of a teller but for want of an understanding ear,stephen king,['writing']
love conquers all aphrodite promised look at helen and paris did they let anything come between themdidnt they start the trojan war and get thousands of people killedpfft thats not the point follow your heart,rick riordan,"['humor', 'truelove']"
you do not write your life with wordsyou write it with actions what you think is not important it is only important what you do,patrick ness,"['philosophy', 'wisdom']"
maybe okay will be our always,john green,"['augustuswaters', 'hazelgrace']"
freedom is not worth having if it does not include the freedom to make mistakes,mahatma gandhi,"['freedom', 'humanity', 'mistakes']"
dont let the expectations and opinions of other people affect your decisions its your life not theirs do what matters most to you do what makes you feel alive and happy dont let the expectations and ideas of others limit who you are if you let others tell you who you are you are living their reality  not yours there is more to life than pleasing people there is much more to life than following others prescribed path there is so much more to life than what you experience right now you need to decide who you are for yourself become a whole being adventure,roy t bennett,"['action', 'adventure', 'authenticliving', 'authenticself', 'authenticity', 'confidence', 'experience', 'inspiration', 'inspirational', 'inspirationalquotes', 'inspire', 'inspiring', 'life', 'lifequotes', 'living', 'optimism', 'optimistic', 'positive', 'positiveaffirmation', 'positivelife', 'positivethinking', 'whoyouare', 'wholebeing']"
lifes under no obligation to give us what we expect,margaret mitchell,"['expectation', 'hope', 'life']"
its strange because sometimes i read a book and i think i am the people in the book,stephen chbosky,['booksreading']
my dearfind what you love and let it kill youlet it drain you of your all let it cling onto your back and weigh you down into eventual nothingnesslet it kill you and let it devour your remainsfor all things will kill you both slowly and fastly but its much better to be killed by a lover falsely yours,kinky friedman,"['death', 'love']"
happiness is having a large loving caring closeknit family in another city,george burns,"['family', 'happiness', 'humor']"
dont order any of the faerie food said jace looking at her over the top of his menu it tends to make humans a little crazy one minute youre munching a faerie plum the next minute youre running naked down madison avenue with antlers on your head not he added hastily that this has ever happened to me,cassandra clare,"['cassandraclare', 'cityofbones', 'jace', 'mortalinstruments']"
more smiling less worrying more compassion less judgment more blessed less stressed more love less hate,roy t bennett,"['authenticliving', 'beingpositive', 'blessed', 'compassion', 'hate', 'inspiration', 'inspirational', 'inspirationalquotes', 'judgment', 'lessmore', 'life', 'lifepurpose', 'lifequotes', 'living', 'love', 'mind', 'motivation', 'optimism', 'optimistic', 'positive', 'positiveaffirmation', 'positivelife', 'positivethinking', 'smile', 'smiles', 'spirituality', 'stress', 'stressed', 'worry', 'worrying']"
nobody can hurt me without my permission,mahatma gandhi,"['fighting', 'hurt', 'innerpeace', 'peace', 'permission', 'strength', 'trial']"
dont judge each day by the harvest you reap but by the seeds that you plant,robert louis stevenson,"['day', 'inspirational', 'judge', 'plant', 'reap', 'seed', 'seeds', 'sow']"
fire is catching and if we burn you burn with us,suzanne collins,['mockingjay']
but i know somehow that only when it is dark enough can you see the stars,martin luther king jr,"['hope', 'inspirational']"
you are the answer to every prayer ive offered you are a song a dream a whisper and i dont know how i could have lived without you for as long as i have,nicholas sparks,['love']
i was never really insane except upon occasions when my heart was touched,edgar allan poe,['inspiration']
sometimes crying or laughing are the only options left and laughing feels better right now,veronica roth,"['crying', 'laughter', 'options']"
what you seek is seeking you,mawlana jalalaldin rumi,"['attraction', 'rumi', 'sufi']"
its not denial im just selective about the reality i accept,bill watterson,['calvinandhobbesreality']
the best and most beautiful things in the world cannot be seen or even touched they must be felt with the heart,helen keller,"['byannesullivan', 'emotions', 'feelings']"
you probably wouldnt worry about what people think of you if you could know how seldom they do,olin miller,"['confidence', 'misattributedeleanorroosevelt', 'others', 'think', 'worry']"
i have something i need to tell you he says i run my fingers along the tendons in his hands and look back at him i might be in love with you he smiles a little im waiting until im sure to tell you thoughthats sensible of you i say smiling too we should find some paper so you can make a list or a chart or somethingi feel his laughter against my side his nose sliding along my jaw his lips pressing my earmaybe im already sure he says and i just dont want to frighten youi laugh a little then you should know betterfine he says then i love you,veronica roth,"['beatrice', 'divergent', 'humor', 'love', 'tobias']"
wrinkles should merely indicate where the smiles have been,mark twain,['age']
simplicity patience compassionthese three are your greatest treasuressimple in actions and thoughts you return to the source of beingpatient with both friends and enemiesyou accord with the way things arecompassionate toward yourselfyou reconcile all beings in the world,lao tzu,"['inspirational', 'life', 'philosophy']"
the socalled psychotically depressed person who tries to kill herself doesnt do so out of quote hopelessness or any abstract conviction that lifes assets and debits do not square and surely not because death seems suddenly appealing the person in whom its invisible agony reaches a certain unendurable level will kill herself the same way a trapped person will eventually jump from the window of a burning highrise make no mistake about people who leap from burning windows their terror of falling from a great height is still just as great as it would be for you or me standing speculatively at the same window just checking out the view ie the fear of falling remains a constant the variable here is the other terror the fires flames when the flames get close enough falling to death becomes the slightly less terrible of two terrors its not desiring the fall its terror of the flames and yet nobody down on the sidewalk looking up and yelling dont and hang on can understand the jump not really youd have to have personally been trapped and felt flames to really understand a terror way beyond falling,david foster wallace,"['depression', 'suicide']"
if pain must come may it come quickly because i have a life to live and i need to live it in the best way possible if he has to make a choice may he make it now then i will either wait for him or forget him,paulo coelho,"['forgetting', 'hope', 'love', 'pain', 'suffering', 'waiting']"
yesterday i was clever so i wanted to change the world today i am wise so i am changing myself,rumi,"['change', 'cleverness', 'misattributed', 'self', 'wisdom', 'world']"
words are of course the most powerful drug used by mankind,rudyard kipling,['words']
the truth does not change according to our ability to stomach it,flannery oconnor,['truth']
the worst part of holding the memories is not the pain its the loneliness of it memories need to be shared,lois lowry,"['loneliness', 'memories', 'pain', 'share']"
the past is a place of reference not a place of residence the past is a place of learning not a place of living,roy t bennett,"['inspirational', 'lifeandliving', 'lifelessons']"
what i say is a town isnt a town without a bookstore it may call itself a town but unless its got a bookstore it knows its not foolin a soul,neil gaiman,"['books', 'bookstore', 'towns']"
dont justdont just learn experiencedont just read absorbdont just change transformdont just relate advocatedont just promise provedont just criticize encouragedont just think ponderdont just take givedont just see feeldont just dream do dont just hear listendont just talk actdont just tell showdont just exist live,roy t bennett,"['act', 'action', 'change', 'criticize', 'doing', 'dream', 'dreams', 'encouragement', 'experience', 'feeling', 'giving', 'inspiration', 'inspirational', 'inspirationalattitude', 'inspirationallife', 'inspirationalquote', 'inspirationalquotes', 'inspire', 'inspiring', 'learning', 'life', 'lifeandliving', 'lifelessons', 'lifephilosophy', 'lifequotes', 'listening', 'living', 'optimism', 'optimistic', 'ponder', 'positive', 'positiveaffirmation', 'positivelife', 'positivethinking', 'thinking', 'transform']"
let there be spaces in your togetherness and let the winds of the heavens dance between you love one another but make not a bond of love let it rather be a moving sea between the shores of your souls fill each others cup but drink not from one cup give one another of your bread but eat not from the same loaf sing and dance together and be joyous but let each one of you be alone even as the strings of a lute are alone though they quiver with the same music give your hearts but not into each others keeping for only the hand of life can contain your hearts and stand together yet not too near together for the pillars of the temple stand apart and the oak tree and the cypress grow not in each others shadow,khalil gibran,"['love', 'marriage']"
books are the mirrors of the soul,virginia woolf,"['books', 'metaphor', 'soul']"
i dont know if youve ever felt like that that you wanted to sleep for a thousand years or just not exist or just not be aware that you do exist or something like that i think wanting that is very morbid but i want it when i get like this thats why im trying not to think i just want it all to stop spinning,stephen chbosky,"['esist', 'sleep', 'spinning']"
be careful of love itll twist your brain around and leave you thinking up is down and right is wrong,rick riordan,['love']
if you look for perfection youll never be content,leo tolstoy,['perfection']
i can feel peeta press his forehead into my temple and he asks so now that youve got me what are you going to do with me i turn into him put you somewhere you cant get hurt,suzanne collins,"['love', 'romance']"
ive got a stele we can use who wants to do mea regrettable choice of words muttered magnus,cassandra clare,"['jacewayland', 'magnusbane', 'regret', 'stele']"
it kills me sometimes how people die,markus zusak,['death']
blessed is he who expects nothing for he shall never be disappointed,alexander pope,"['beatitudes', 'disappointment', 'expectations', 'hope']"
there is nothing in the world so irresistibly contagious as laughter and good humor,charles dickens,"['humor', 'laughter']"
none but ourselves can free our minds,bob marley,"['bobmarley', 'inspirational', 'music', 'reggae']"
